classification_system,code,code_clean,description
icd-10-mc,S72.031E,S72031E,"Displaced midcervical fracture of right femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.031F,S72031F,"Displaced midcervical fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.031G,S72031G,"Displaced midcervical fracture of right femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.031H,S72031H,"Displaced midcervical fracture of right femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.031J,S72031J,"Displaced midcervical fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.031K,S72031K,"Displaced midcervical fracture of right femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.031M,S72031M,"Displaced midcervical fracture of right femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.031N,S72031N,"Displaced midcervical fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.031P,S72031P,"Displaced midcervical fracture of right femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.031Q,S72031Q,"Displaced midcervical fracture of right femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.031R,S72031R,"Displaced midcervical fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.031S,S72031S,"Displaced midcervical fracture of right femur, sequela"
icd-10-mc,S72.032A,S72032A,"Displaced midcervical fracture of left femur, initial encounter for closed fracture"
icd-10-mc,S72.032B,S72032B,"Displaced midcervical fracture of left femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.032C,S72032C,"Displaced midcervical fracture of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.032D,S72032D,"Displaced midcervical fracture of left femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.032E,S72032E,"Displaced midcervical fracture of left femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.032F,S72032F,"Displaced midcervical fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.032G,S72032G,"Displaced midcervical fracture of left femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.032H,S72032H,"Displaced midcervical fracture of left femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.032J,S72032J,"Displaced midcervical fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.032K,S72032K,"Displaced midcervical fracture of left femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.032M,S72032M,"Displaced midcervical fracture of left femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.032N,S72032N,"Displaced midcervical fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.032P,S72032P,"Displaced midcervical fracture of left femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.032Q,S72032Q,"Displaced midcervical fracture of left femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.032R,S72032R,"Displaced midcervical fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.032S,S72032S,"Displaced midcervical fracture of left femur, sequela"
icd-10-mc,S72.033A,S72033A,"Displaced midcervical fracture of unspecified femur, initial encounter for closed fracture"
icd-10-mc,S72.033B,S72033B,"Displaced midcervical fracture of unspecified femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.033C,S72033C,"Displaced midcervical fracture of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.033D,S72033D,"Displaced midcervical fracture of unspecified femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.033E,S72033E,"Displaced midcervical fracture of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.033F,S72033F,"Displaced midcervical fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.033G,S72033G,"Displaced midcervical fracture of unspecified femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.033H,S72033H,"Displaced midcervical fracture of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.033J,S72033J,"Displaced midcervical fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.033K,S72033K,"Displaced midcervical fracture of unspecified femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.033M,S72033M,"Displaced midcervical fracture of unspecified femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.033N,S72033N,"Displaced midcervical fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.033P,S72033P,"Displaced midcervical fracture of unspecified femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.033Q,S72033Q,"Displaced midcervical fracture of unspecified femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.033R,S72033R,"Displaced midcervical fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.033S,S72033S,"Displaced midcervical fracture of unspecified femur, sequela"
icd-10-mc,S72.034A,S72034A,"Nondisplaced midcervical fracture of right femur, initial encounter for closed fracture"
icd-10-mc,S72.034B,S72034B,"Nondisplaced midcervical fracture of right femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.034C,S72034C,"Nondisplaced midcervical fracture of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.034D,S72034D,"Nondisplaced midcervical fracture of right femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.034E,S72034E,"Nondisplaced midcervical fracture of right femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.034F,S72034F,"Nondisplaced midcervical fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.034G,S72034G,"Nondisplaced midcervical fracture of right femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.034H,S72034H,"Nondisplaced midcervical fracture of right femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.034J,S72034J,"Nondisplaced midcervical fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.034K,S72034K,"Nondisplaced midcervical fracture of right femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.034M,S72034M,"Nondisplaced midcervical fracture of right femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.034N,S72034N,"Nondisplaced midcervical fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.034P,S72034P,"Nondisplaced midcervical fracture of right femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.034Q,S72034Q,"Nondisplaced midcervical fracture of right femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.034R,S72034R,"Nondisplaced midcervical fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.034S,S72034S,"Nondisplaced midcervical fracture of right femur, sequela"
icd-10-mc,S72.035A,S72035A,"Nondisplaced midcervical fracture of left femur, initial encounter for closed fracture"
icd-10-mc,S72.035B,S72035B,"Nondisplaced midcervical fracture of left femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.035C,S72035C,"Nondisplaced midcervical fracture of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.035D,S72035D,"Nondisplaced midcervical fracture of left femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.035E,S72035E,"Nondisplaced midcervical fracture of left femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.035F,S72035F,"Nondisplaced midcervical fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.035G,S72035G,"Nondisplaced midcervical fracture of left femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.035H,S72035H,"Nondisplaced midcervical fracture of left femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.035J,S72035J,"Nondisplaced midcervical fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.035K,S72035K,"Nondisplaced midcervical fracture of left femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.035M,S72035M,"Nondisplaced midcervical fracture of left femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.035N,S72035N,"Nondisplaced midcervical fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.035P,S72035P,"Nondisplaced midcervical fracture of left femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.035Q,S72035Q,"Nondisplaced midcervical fracture of left femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.035R,S72035R,"Nondisplaced midcervical fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.035S,S72035S,"Nondisplaced midcervical fracture of left femur, sequela"
icd-10-mc,S72.036A,S72036A,"Nondisplaced midcervical fracture of unspecified femur, initial encounter for closed fracture"
icd-10-mc,S72.036B,S72036B,"Nondisplaced midcervical fracture of unspecified femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.036C,S72036C,"Nondisplaced midcervical fracture of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.036D,S72036D,"Nondisplaced midcervical fracture of unspecified femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.036E,S72036E,"Nondisplaced midcervical fracture of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.036F,S72036F,"Nondisplaced midcervical fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.036G,S72036G,"Nondisplaced midcervical fracture of unspecified femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.036H,S72036H,"Nondisplaced midcervical fracture of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.036J,S72036J,"Nondisplaced midcervical fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.036K,S72036K,"Nondisplaced midcervical fracture of unspecified femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.036M,S72036M,"Nondisplaced midcervical fracture of unspecified femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.036N,S72036N,"Nondisplaced midcervical fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.036P,S72036P,"Nondisplaced midcervical fracture of unspecified femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.036Q,S72036Q,"Nondisplaced midcervical fracture of unspecified femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.036R,S72036R,"Nondisplaced midcervical fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.036S,S72036S,"Nondisplaced midcervical fracture of unspecified femur, sequela"
icd-10-mc,S72.041A,S72041A,"Displaced fracture of base of neck of right femur, initial encounter for closed fracture"
icd-10-mc,S72.041B,S72041B,"Displaced fracture of base of neck of right femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.041C,S72041C,"Displaced fracture of base of neck of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.041D,S72041D,"Displaced fracture of base of neck of right femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.041E,S72041E,"Displaced fracture of base of neck of right femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.041F,S72041F,"Displaced fracture of base of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.041G,S72041G,"Displaced fracture of base of neck of right femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.041H,S72041H,"Displaced fracture of base of neck of right femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.041J,S72041J,"Displaced fracture of base of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.041K,S72041K,"Displaced fracture of base of neck of right femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.041M,S72041M,"Displaced fracture of base of neck of right femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.041N,S72041N,"Displaced fracture of base of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.041P,S72041P,"Displaced fracture of base of neck of right femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.041Q,S72041Q,"Displaced fracture of base of neck of right femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.041R,S72041R,"Displaced fracture of base of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.041S,S72041S,"Displaced fracture of base of neck of right femur, sequela"
icd-10-mc,S72.042A,S72042A,"Displaced fracture of base of neck of left femur, initial encounter for closed fracture"
icd-10-mc,S72.042B,S72042B,"Displaced fracture of base of neck of left femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.042C,S72042C,"Displaced fracture of base of neck of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.042D,S72042D,"Displaced fracture of base of neck of left femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.042E,S72042E,"Displaced fracture of base of neck of left femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.042F,S72042F,"Displaced fracture of base of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.042G,S72042G,"Displaced fracture of base of neck of left femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.042H,S72042H,"Displaced fracture of base of neck of left femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.042J,S72042J,"Displaced fracture of base of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.042K,S72042K,"Displaced fracture of base of neck of left femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.042M,S72042M,"Displaced fracture of base of neck of left femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.042N,S72042N,"Displaced fracture of base of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.042P,S72042P,"Displaced fracture of base of neck of left femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.042Q,S72042Q,"Displaced fracture of base of neck of left femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.042R,S72042R,"Displaced fracture of base of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.042S,S72042S,"Displaced fracture of base of neck of left femur, sequela"
icd-10-mc,S72.043A,S72043A,"Displaced fracture of base of neck of unspecified femur, initial encounter for closed fracture"
icd-10-mc,S72.043B,S72043B,"Displaced fracture of base of neck of unspecified femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.043C,S72043C,"Displaced fracture of base of neck of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.043D,S72043D,"Displaced fracture of base of neck of unspecified femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.043E,S72043E,"Displaced fracture of base of neck of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.043F,S72043F,"Displaced fracture of base of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.043G,S72043G,"Displaced fracture of base of neck of unspecified femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.043H,S72043H,"Displaced fracture of base of neck of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.043J,S72043J,"Displaced fracture of base of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.043K,S72043K,"Displaced fracture of base of neck of unspecified femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.043M,S72043M,"Displaced fracture of base of neck of unspecified femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.043N,S72043N,"Displaced fracture of base of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.043P,S72043P,"Displaced fracture of base of neck of unspecified femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.043Q,S72043Q,"Displaced fracture of base of neck of unspecified femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.043R,S72043R,"Displaced fracture of base of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.043S,S72043S,"Displaced fracture of base of neck of unspecified femur, sequela"
icd-10-mc,S72.044A,S72044A,"Nondisplaced fracture of base of neck of right femur, initial encounter for closed fracture"
icd-10-mc,S72.044B,S72044B,"Nondisplaced fracture of base of neck of right femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.044C,S72044C,"Nondisplaced fracture of base of neck of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.044D,S72044D,"Nondisplaced fracture of base of neck of right femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.044E,S72044E,"Nondisplaced fracture of base of neck of right femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.044F,S72044F,"Nondisplaced fracture of base of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.044G,S72044G,"Nondisplaced fracture of base of neck of right femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.044H,S72044H,"Nondisplaced fracture of base of neck of right femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.044J,S72044J,"Nondisplaced fracture of base of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.044K,S72044K,"Nondisplaced fracture of base of neck of right femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.044M,S72044M,"Nondisplaced fracture of base of neck of right femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.044N,S72044N,"Nondisplaced fracture of base of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.044P,S72044P,"Nondisplaced fracture of base of neck of right femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.044Q,S72044Q,"Nondisplaced fracture of base of neck of right femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.044R,S72044R,"Nondisplaced fracture of base of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.044S,S72044S,"Nondisplaced fracture of base of neck of right femur, sequela"
icd-10-mc,S72.045A,S72045A,"Nondisplaced fracture of base of neck of left femur, initial encounter for closed fracture"
icd-10-mc,S72.045B,S72045B,"Nondisplaced fracture of base of neck of left femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.045C,S72045C,"Nondisplaced fracture of base of neck of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.045D,S72045D,"Nondisplaced fracture of base of neck of left femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.045E,S72045E,"Nondisplaced fracture of base of neck of left femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.045F,S72045F,"Nondisplaced fracture of base of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.045G,S72045G,"Nondisplaced fracture of base of neck of left femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.045H,S72045H,"Nondisplaced fracture of base of neck of left femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.045J,S72045J,"Nondisplaced fracture of base of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.045K,S72045K,"Nondisplaced fracture of base of neck of left femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.045M,S72045M,"Nondisplaced fracture of base of neck of left femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.045N,S72045N,"Nondisplaced fracture of base of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.045P,S72045P,"Nondisplaced fracture of base of neck of left femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.045Q,S72045Q,"Nondisplaced fracture of base of neck of left femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.045R,S72045R,"Nondisplaced fracture of base of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.045S,S72045S,"Nondisplaced fracture of base of neck of left femur, sequela"
icd-10-mc,S72.046A,S72046A,"Nondisplaced fracture of base of neck of unspecified femur, initial encounter for closed fracture"
icd-10-mc,S72.046B,S72046B,"Nondisplaced fracture of base of neck of unspecified femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.046C,S72046C,"Nondisplaced fracture of base of neck of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.046D,S72046D,"Nondisplaced fracture of base of neck of unspecified femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.046E,S72046E,"Nondisplaced fracture of base of neck of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.046F,S72046F,"Nondisplaced fracture of base of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.046G,S72046G,"Nondisplaced fracture of base of neck of unspecified femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.046H,S72046H,"Nondisplaced fracture of base of neck of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.046J,S72046J,"Nondisplaced fracture of base of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.046K,S72046K,"Nondisplaced fracture of base of neck of unspecified femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.046M,S72046M,"Nondisplaced fracture of base of neck of unspecified femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.046N,S72046N,"Nondisplaced fracture of base of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.046P,S72046P,"Nondisplaced fracture of base of neck of unspecified femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.046Q,S72046Q,"Nondisplaced fracture of base of neck of unspecified femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.046R,S72046R,"Nondisplaced fracture of base of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.046S,S72046S,"Nondisplaced fracture of base of neck of unspecified femur, sequela"
icd-10-mc,S72.051A,S72051A,"Unspecified fracture of head of right femur, initial encounter for closed fracture"
icd-10-mc,S72.051B,S72051B,"Unspecified fracture of head of right femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.051C,S72051C,"Unspecified fracture of head of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.051D,S72051D,"Unspecified fracture of head of right femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.051E,S72051E,"Unspecified fracture of head of right femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.051F,S72051F,"Unspecified fracture of head of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.051G,S72051G,"Unspecified fracture of head of right femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.051H,S72051H,"Unspecified fracture of head of right femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.051J,S72051J,"Unspecified fracture of head of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.051K,S72051K,"Unspecified fracture of head of right femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.051M,S72051M,"Unspecified fracture of head of right femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.051N,S72051N,"Unspecified fracture of head of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.051P,S72051P,"Unspecified fracture of head of right femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.051Q,S72051Q,"Unspecified fracture of head of right femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.051R,S72051R,"Unspecified fracture of head of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.051S,S72051S,"Unspecified fracture of head of right femur, sequela"
icd-10-mc,S72.052A,S72052A,"Unspecified fracture of head of left femur, initial encounter for closed fracture"
icd-10-mc,S72.052B,S72052B,"Unspecified fracture of head of left femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.052C,S72052C,"Unspecified fracture of head of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.052D,S72052D,"Unspecified fracture of head of left femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.052E,S72052E,"Unspecified fracture of head of left femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.052F,S72052F,"Unspecified fracture of head of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.052G,S72052G,"Unspecified fracture of head of left femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.052H,S72052H,"Unspecified fracture of head of left femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.052J,S72052J,"Unspecified fracture of head of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.052K,S72052K,"Unspecified fracture of head of left femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.052M,S72052M,"Unspecified fracture of head of left femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.052N,S72052N,"Unspecified fracture of head of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.052P,S72052P,"Unspecified fracture of head of left femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.052Q,S72052Q,"Unspecified fracture of head of left femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.052R,S72052R,"Unspecified fracture of head of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.052S,S72052S,"Unspecified fracture of head of left femur, sequela"
icd-10-mc,S72.059A,S72059A,"Unspecified fracture of head of unspecified femur, initial encounter for closed fracture"
icd-10-mc,S72.059B,S72059B,"Unspecified fracture of head of unspecified femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.059C,S72059C,"Unspecified fracture of head of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.059D,S72059D,"Unspecified fracture of head of unspecified femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.059E,S72059E,"Unspecified fracture of head of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
