variable,value,outcome,count,percentage,count_S720,percentage_S720,count_S721,percentage_S721,count_S722,percentage_S722
Fall_increase_moderate_Patterns_outcome,Initiating,exitus_readm,126,1.50%,64.0,1.48%,47.0,1.46%,7.0,1.02%
Fall_increase_moderate_Patterns_outcome,No_Treat,exitus_readm,52,0.62%,30.0,0.69%,18.0,0.56%,3.0,0.44%
Fall_increase_high_Patterns_outcome,Continuing,exitus_readm,2044,24.30%,1031.0,23.84%,807.0,25.10%,154.0,22.45%
Fall_increase_high_Patterns_outcome,Deprescribing,exitus_readm,653,7.76%,333.0,7.70%,243.0,7.56%,59.0,8.60%
Fall_increase_high_Patterns_outcome,Initiating,exitus_readm,161,1.91%,75.0,1.73%,68.0,2.12%,15.0,2.19%
Fall_increase_high_Patterns_outcome,No_Treat,exitus_readm,71,0.84%,39.0,0.90%,24.0,0.75%,6.0,0.87%
Bone_mass_decrese_high_Patterns_outcome,Continuing,exitus_readm,190,2.26%,92.0,2.13%,73.0,2.27%,20.0,2.92%
Bone_mass_decrese_high_Patterns_outcome,Deprescribing,exitus_readm,724,8.61%,363.0,8.39%,288.0,8.96%,53.0,7.73%
Bone_mass_decrese_high_Patterns_outcome,Initiating,exitus_readm,343,4.08%,167.0,3.86%,137.0,4.26%,26.0,3.79%
Bone_mass_decrese_high_Patterns_outcome,No_Treat,exitus_readm,1672,19.88%,856.0,19.79%,644.0,20.03%,135.0,19.68%
Bone_mass_decrese_moderate_Patterns_outcome,Continuing,exitus_readm,340,4.04%,172.0,3.98%,126.0,3.92%,33.0,4.81%
Bone_mass_decrese_moderate_Patterns_outcome,Deprescribing,exitus_readm,884,10.51%,437.0,10.10%,349.0,10.86%,76.0,11.08%
Bone_mass_decrese_moderate_Patterns_outcome,Initiating,exitus_readm,356,4.23%,194.0,4.49%,122.0,3.79%,27.0,3.94%
Bone_mass_decrese_moderate_Patterns_outcome,No_Treat,exitus_readm,1349,16.04%,675.0,15.61%,545.0,16.95%,98.0,14.29%
Fall_increase_moderate_Patterns_outcome,Continuing,refracture,2175,25.86%,1094.0,25.29%,851.0,26.47%,176.0,25.66%
Fall_increase_moderate_Patterns_outcome,Deprescribing,refracture,576,6.85%,290.0,6.71%,226.0,7.03%,48.0,7.00%
Fall_increase_moderate_Patterns_outcome,Initiating,refracture,126,1.50%,64.0,1.48%,47.0,1.46%,7.0,1.02%
Fall_increase_moderate_Patterns_outcome,No_Treat,refracture,52,0.62%,30.0,0.69%,18.0,0.56%,3.0,0.44%
Fall_increase_high_Patterns_outcome,Continuing,refracture,2044,24.30%,1031.0,23.84%,807.0,25.10%,154.0,22.45%
Fall_increase_high_Patterns_outcome,Deprescribing,refracture,653,7.76%,333.0,7.70%,243.0,7.56%,59.0,8.60%
Fall_increase_high_Patterns_outcome,Initiating,refracture,161,1.91%,75.0,1.73%,68.0,2.12%,15.0,2.19%
Fall_increase_high_Patterns_outcome,No_Treat,refracture,71,0.84%,39.0,0.90%,24.0,0.75%,6.0,0.87%
Bone_mass_decrese_high_Patterns_outcome,Continuing,refracture,190,2.26%,92.0,2.13%,73.0,2.27%,20.0,2.92%
Bone_mass_decrese_high_Patterns_outcome,Deprescribing,refracture,724,8.61%,363.0,8.39%,288.0,8.96%,53.0,7.73%
Bone_mass_decrese_high_Patterns_outcome,Initiating,refracture,343,4.08%,167.0,3.86%,137.0,4.26%,26.0,3.79%
Bone_mass_decrese_high_Patterns_outcome,No_Treat,refracture,1672,19.88%,856.0,19.79%,644.0,20.03%,135.0,19.68%
Bone_mass_decrese_moderate_Patterns_outcome,Continuing,refracture,340,4.04%,172.0,3.98%,126.0,3.92%,33.0,4.81%
Bone_mass_decrese_moderate_Patterns_outcome,Deprescribing,refracture,884,10.51%,437.0,10.10%,349.0,10.86%,76.0,11.08%
Bone_mass_decrese_moderate_Patterns_outcome,Initiating,refracture,356,4.23%,194.0,4.49%,122.0,3.79%,27.0,3.94%
Bone_mass_decrese_moderate_Patterns_outcome,No_Treat,refracture,1349,16.04%,675.0,15.61%,545.0,16.95%,98.0,14.29%
